Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllTestCase,Chrome 128.0.0.0,,,24-09-2024 13:36:59,24-09-2024 13:38:38,1m - 38.927s,PASSED
,,,,,,,
Test Cases/LaunchPetStorePage,Chrome 128.0.0.0,,,24-09-2024 13:36:59,24-09-2024 13:37:05,5.175s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,24-09-2024 13:37:00,24-09-2024 13:37:03,2.988s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,24-09-2024 13:37:03,24-09-2024 13:37:04,1.246s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/a_Sign In""), 0)",Chrome 128.0.0.0,,,24-09-2024 13:37:04,24-09-2024 13:37:04,0.386s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,24-09-2024 13:37:04,24-09-2024 13:37:05,0.198s,PASSED
,,,,,,,
Test Cases/PetStoreRegistration,Chrome 128.0.0.0,,,24-09-2024 13:37:05,24-09-2024 13:37:16,11.707s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,24-09-2024 13:37:05,24-09-2024 13:37:06,1.044s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,24-09-2024 13:37:06,24-09-2024 13:37:07,1.085s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,24-09-2024 13:37:07,24-09-2024 13:37:07,0.560s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Register Now""))",Chrome 128.0.0.0,,,24-09-2024 13:37:07,24-09-2024 13:37:08,0.506s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_User ID_username""), ""petstoreuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:08,24-09-2024 13:37:09,0.615s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_New password_password""), ""petstoreuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:09,24-09-2024 13:37:09,0.594s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Repeat password_repeatedPassword""), ""petstoreuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:09,24-09-2024 13:37:10,0.619s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_First name_account.firstName""), ""petstoreuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:10,24-09-2024 13:37:10,0.598s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Last name_account.lastName""), ""petstoreuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:10,24-09-2024 13:37:11,0.586s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Email_account.email""), ""petstoreuser@gmail.com"")",Chrome 128.0.0.0,,,24-09-2024 13:37:11,24-09-2024 13:37:12,0.618s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Phone_account.phone""), ""1233214567"")",Chrome 128.0.0.0,,,24-09-2024 13:37:12,24-09-2024 13:37:12,0.582s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Address 1_account.address1""), ""Address1"")",Chrome 128.0.0.0,,,24-09-2024 13:37:12,24-09-2024 13:37:13,0.578s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Address 2_account.address2""), ""Address2"")",Chrome 128.0.0.0,,,24-09-2024 13:37:13,24-09-2024 13:37:13,0.604s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_City_account.city""), ""Mumbai"")",Chrome 128.0.0.0,,,24-09-2024 13:37:13,24-09-2024 13:37:14,0.578s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_State_account.state""), ""Maha"")",Chrome 128.0.0.0,,,24-09-2024 13:37:14,24-09-2024 13:37:14,0.576s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Zip_account.zip""), ""429312"")",Chrome 128.0.0.0,,,24-09-2024 13:37:14,24-09-2024 13:37:15,0.570s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Country_account.country""), ""India"")",Chrome 128.0.0.0,,,24-09-2024 13:37:15,24-09-2024 13:37:16,0.584s,PASSED
"click(findTestObject(""Page_JPetStore Demo/input_Enable MyBanner_newAccount""))",Chrome 128.0.0.0,,,24-09-2024 13:37:16,24-09-2024 13:37:16,0.625s,PASSED
,,,,,,,
Test Cases/PetStoreSignIn,Chrome 128.0.0.0,,,24-09-2024 13:37:16,24-09-2024 13:37:22,5.548s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,24-09-2024 13:37:16,24-09-2024 13:37:17,1.072s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,24-09-2024 13:37:17,24-09-2024 13:37:18,0.524s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/a_Sign In""), 1)",Chrome 128.0.0.0,,,24-09-2024 13:37:18,24-09-2024 13:37:19,0.654s,PASSED
"click(findTestObject(""Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,24-09-2024 13:37:19,24-09-2024 13:37:19,0.482s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_Need a user name and password_username""), ""testuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:19,24-09-2024 13:37:20,0.612s,PASSED
"setText(findTestObject(""Page_JPetStore Demo/input_New password_password""), ""testuser"")",Chrome 128.0.0.0,,,24-09-2024 13:37:20,24-09-2024 13:37:20,0.568s,PASSED
"click(findTestObject(""Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 128.0.0.0,,,24-09-2024 13:37:20,24-09-2024 13:37:21,0.632s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/signoutlink""), 1)",Chrome 128.0.0.0,,,24-09-2024 13:37:21,24-09-2024 13:37:21,0.274s,PASSED
"click(findTestObject(""Page_JPetStore Demo/signoutlink""))",Chrome 128.0.0.0,,,24-09-2024 13:37:21,24-09-2024 13:37:22,0.618s,PASSED
,,,,,,,
Test Cases/PurchaseAllPet,Chrome 128.0.0.0,,,24-09-2024 13:37:22,24-09-2024 13:37:36,14.463s,PASSED
BrowserFunctionKeyword.lauchBrowser(),Chrome 128.0.0.0,,,24-09-2024 13:37:22,24-09-2024 13:37:24,2.016s,PASSED
PetStoreKeyword.login(),Chrome 128.0.0.0,,,24-09-2024 13:37:24,24-09-2024 13:37:26,2.375s,PASSED
"click(findTestObject(""Page_JPetStore Demo/FishLink""))",Chrome 128.0.0.0,,,24-09-2024 13:37:26,24-09-2024 13:37:27,0.482s,PASSED
"click(findTestObject(""Page_JPetStore Demo/AngelFish""))",Chrome 128.0.0.0,,,24-09-2024 13:37:27,24-09-2024 13:37:27,0.477s,PASSED
